Date,Open,High,Low,Close,Volume,Adj Close,CloseNext,DailyReturn
2016-06-30,148.860001,151.910004,148.669998,151.779999,3967100,151.779999,152.350006,0.570007
2016-06-29,146.5,148.479996,146.449997,148.460007,3367700,148.460007,151.779999,3.319992
2016-06-28,144.779999,145.729996,144.220001,145.699997,3997700,145.699997,148.460007,2.76001
2016-06-27,146.179993,146.600006,142.5,143.5,5017900,143.5,145.699997,2.199997
2016-06-24,149.970001,150.610001,146.179993,146.589996,9082800,146.589996,143.5,-3.089996
2016-06-23,153.449997,155.479996,152.600006,155.350006,3911100,155.350006,146.589996,-8.76001
2016-06-22,153.75,154.710007,152.270004,152.919998,2821300,152.919998,155.350006,2.430008
2016-06-21,154.160004,154.570007,153.690002,154.050003,2756400,154.050003,152.919998,-1.130005
2016-06-20,152.600006,154.669998,152.520004,153.610001,3478600,153.610001,154.050003,0.440002
2016-06-17,150.960007,152.720001,150.600006,151.990005,4633800,151.990005,153.610001,1.619996
2016-06-16,150.190002,151.289993,149,151.059998,2422400,151.059998,151.990005,0.930007
2016-06-15,151.460007,151.789993,150.600006,150.679993,2260400,150.679993,151.059998,0.380005
2016-06-14,151.279999,151.789993,150.399994,151.059998,2865800,151.059998,150.679993,-0.380005
2016-06-13,151.630005,152.5,150.279999,151.279999,3610400,151.279999,151.059998,-0.220001
2016-06-10,152.789993,153.330002,151.860001,152.369995,3120600,152.369995,151.279999,-1.089996
2016-06-09,152.919998,153.759995,152.729996,153.419998,2021800,153.419998,152.369995,-1.050003
2016-06-08,153.529999,154.089996,153.039993,154,2935000,154,153.419998,-0.580002
2016-06-07,153.309998,153.929993,152.660004,153.330002,4465000,153.330002,154,0.669998
2016-06-06,153.089996,153.949997,152.339996,152.729996,2378700,152.729996,153.330002,0.600006
2016-06-03,152.399994,153.039993,151.699997,152.889999,2314800,152.889999,152.729996,-0.160003
2016-06-02,152.589996,153.5,152.119995,153.5,2635600,153.5,152.889999,-0.610001
2016-06-01,153,153.270004,151.539993,152.509995,2608400,152.509995,153.5,0.990005
2016-05-31,152.559998,153.809998,152.270004,153.740005,5160800,153.740005,152.509995,-1.23001
2016-05-27,152.350006,152.929993,152.149994,152.839996,2422100,152.839996,153.740005,0.900009
2016-05-26,151.550003,152.509995,151.050003,152.440002,3023100,152.440002,152.839996,0.399994
2016-05-25,148.929993,152.089996,148.5,151.690002,4355300,151.690002,152.440002,0.75
2016-05-24,146.880005,148.75,146.880005,148.309998,2824400,148.309998,151.690002,3.380004
2016-05-23,147.610001,147.949997,146.660004,146.770004,2086600,146.770004,148.309998,1.539994
2016-05-20,145.710007,147.509995,145.550003,147.25,3571400,147.25,146.770004,-0.479996
2016-05-19,146.479996,146.929993,143.960007,144.929993,3615900,144.929993,147.25,2.320007
2016-05-18,147.990005,148.520004,146.360001,147.339996,2482100,147.339996,144.929993,-2.410003
2016-05-17,149.210007,149.5,147.289993,148,3480300,148,147.339996,-0.660004
2016-05-16,147.649994,149.990005,147.440002,149.460007,3052600,149.460007,148,-1.460007
2016-05-13,148.789993,149.860001,147.419998,147.720001,2371800,147.720001,149.460007,1.740006
2016-05-12,149.210007,149.389999,147.110001,148.839996,3247000,148.839996,147.720001,-1.119995
2016-05-11,149.710007,151.089996,148.740005,148.949997,3050000,148.949997,148.839996,-0.110001
2016-05-10,148.240005,150.039993,147.740005,149.970001,3982400,149.970001,148.949997,-1.020004
2016-05-09,147.699997,148.199997,147.009995,147.339996,4274500,147.339996,149.970001,2.630005
2016-05-06,144.860001,147.970001,144.470001,147.289993,4880300,147.289993,147.339996,0.050003
2016-05-05,145.949997,147.300003,145.449997,146.470001,6501200,145.070003,147.289993,0.819992
2016-05-04,143.360001,145,143.309998,144.25,2577100,142.871221,146.470001,2.220001
2016-05-03,144.649994,144.899994,142.899994,144.130005,3584300,142.752373,144.25,0.119995
2016-05-02,146.559998,147,144.429993,145.270004,3502400,143.881476,144.130005,-1.139999
2016-04-29,146.490005,147.339996,144.190002,145.940002,4225800,144.54507,145.270004,-0.669998
2016-04-28,149.75,150.179993,146.729996,147.070007,3791500,145.664274,145.940002,-1.130005
2016-04-27,149.350006,150.779999,148.970001,150.470001,3111200,149.03177,147.070007,-3.399994
2016-04-26,148.649994,149.789993,147.899994,149.080002,2979800,147.655056,150.470001,1.389999
2016-04-25,148.160004,148.899994,147.110001,148.809998,2848900,147.387633,149.080002,0.270004
2016-04-22,149.440002,151,147.5,148.5,5191900,147.080598,148.809998,0.309998
2016-04-21,146.580002,150.119995,146.460007,149.300003,6017700,147.872955,148.5,-0.800003
2016-04-20,144.240005,147.199997,144,146.110001,6754300,144.713443,149.300003,3.190002
2016-04-19,146.470001,146.949997,142.610001,144,13190200,142.62361,146.110001,2.110001
2016-04-18,151.720001,153.139999,151.490005,152.529999,6581700,151.072077,144,-8.529999
2016-04-15,151.039993,152.100006,150.960007,151.720001,3657600,150.269822,152.529999,0.809998
2016-04-14,151.5,152.759995,150.380005,151.160004,3176500,149.715177,151.720001,0.559997
2016-04-13,150.75,151.229996,149.630005,151.229996,3168400,149.7845,151.160004,-0.069992
2016-04-12,149.610001,150.110001,148.580002,149.630005,3595800,148.199802,151.229996,1.599991
2016-04-11,150.259995,151.949997,149.220001,149.25,3846100,147.82343,149.630005,0.380005
2016-04-08,149.059998,149.990005,148.119995,149.350006,3293800,147.92248,149.25,-0.100006
2016-04-07,149.070007,149.600006,148,148.25,3663000,146.832988,149.350006,1.100006
2016-04-06,149.899994,150.149994,147.809998,150.020004,4194600,148.586074,148.25,-1.770004
2016-04-05,151.429993,151.600006,149.649994,150,3337000,148.566261,150.020004,0.020004
2016-04-04,152.339996,153.520004,151.910004,152.070007,3931200,150.616483,150,-2.070007
2016-04-01,150.509995,152.960007,150.25,152.520004,3925500,151.062178,152.070007,-0.449997
2016-03-31,149.789993,153.100006,149.360001,151.449997,6780600,150.002398,152.520004,1.070007
2016-03-30,149.949997,150.410004,148.320007,148.410004,3331200,146.991462,151.449997,3.039993
2016-03-29,147.589996,149.759995,147.5,149.330002,3138500,147.902667,148.410004,-0.919998
2016-03-28,147.75,148.649994,147.229996,148.399994,3265100,146.981548,149.330002,0.930008
2016-03-24,144.979996,148.220001,144.490005,147.949997,5044500,146.535852,148.399994,0.449997
2016-03-23,148,148.029999,145.130005,145.399994,4764200,144.010223,147.949997,2.550003
2016-03-22,148.059998,149.279999,147.839996,148.100006,4081900,146.684428,145.399994,-2.700012
2016-03-21,147.300003,148.710007,146.720001,148.630005,3721600,147.209361,148.100006,-0.529999
2016-03-18,147.399994,147.509995,145.509995,147.089996,12089700,145.684072,148.630005,1.540009
2016-03-17,144.779999,147.320007,144.449997,147.039993,5821600,145.634547,147.089996,0.050003
2016-03-16,142.619995,144.880005,142.110001,144.789993,4221900,143.406053,147.039993,2.25
2016-03-15,141.740005,143.330002,141.539993,142.960007,3707500,141.593558,144.789993,1.829986
2016-03-14,142.009995,143.190002,141.039993,142.779999,4048800,141.41527,142.960007,0.180008
2016-03-11,141.729996,142.919998,140.509995,142.360001,4421900,140.999287,142.779999,0.419998
2016-03-10,141.240005,141.470001,138.089996,140.190002,4020600,138.85003,142.360001,2.169999
2016-03-09,139.309998,142.169998,139.229996,140.410004,4406500,139.067928,140.190002,-0.220002
2016-03-08,139.710007,140.350006,137.419998,139.070007,5579100,137.74074,140.410004,1.339997
2016-03-07,137.279999,140.509995,136.869995,140.149994,5171000,138.810404,139.070007,-1.079987
2016-03-04,137.539993,139.419998,137.020004,137.800003,3968400,136.482875,140.149994,2.349991
2016-03-03,137.220001,137.960007,136.070007,137.800003,5156400,136.482875,137.800003,0
2016-03-02,133.699997,137.440002,133.220001,136.300003,5217200,134.997212,137.800003,1.5
2016-03-01,132.240005,134.639999,132.029999,134.369995,3788500,133.085652,136.300003,1.930008
2016-02-29,132,133.360001,130.899994,131.029999,4428000,129.77758,134.369995,3.339996
2016-02-26,134.509995,134.919998,131.949997,132.029999,4386200,130.768022,131.029999,-1
2016-02-25,133.289993,134.509995,130.880005,134.5,4358300,133.214414,132.029999,-2.470001
2016-02-24,131.550003,133.490005,129.679993,132.800003,4122600,131.530666,134.5,1.699997
2016-02-23,133.139999,133.410004,132.009995,132.399994,3439700,131.13448,132.800003,0.400009
2016-02-22,133.080002,134.309998,132.410004,133.770004,4457400,132.491396,132.399994,-1.37001
2016-02-19,132.360001,133.649994,130.839996,133.080002,5125300,131.807989,133.770004,0.690002
2016-02-18,130,134,129.75,132.449997,9951600,131.184005,133.080002,0.630005
2016-02-17,123.709999,126.57,123.25,126.099998,4821000,124.894702,132.449997,6.349999
2016-02-16,121.830002,123.089996,121.339996,122.739998,4061400,121.566817,126.099998,3.36
2016-02-12,119.260002,121.050003,118.349998,121.040001,4936500,119.883069,122.739998,1.699997
2016-02-11,118.779999,119.660004,116.900002,117.849998,7307600,116.723557,121.040001,3.190003
2016-02-10,125,125.290001,119.839996,120.190002,6469100,119.041195,117.849998,-2.340004
2016-02-09,126.120003,126.93,123.769997,124.07,5957200,122.884106,120.190002,-3.879998
2016-02-08,126,127.510002,124.129997,126.980003,7364000,125.766295,124.07,-2.910003
2016-02-05,127.220001,128.639999,125.849998,128.570007,7177700,126.053525,126.980003,-1.590004
2016-02-04,125.080002,128.5,125,127.650002,5266500,125.151527,128.570007,0.920005
2016-02-03,123.989998,125.449997,122.290001,124.720001,6223500,122.278875,127.650002,2.930001
2016-02-02,123.669998,124.139999,122.639999,122.940002,3287300,120.533716,124.720001,1.779999
2016-02-01,124.400002,125.290001,123.709999,124.830002,3574900,122.386722,122.940002,-1.89
2016-01-29,123.279999,124.790001,122.959999,124.790001,8248100,122.347504,124.830002,0.040001
2016-01-28,121.260002,122.830002,121.010002,122.220001,3942500,119.827807,124.790001,2.57
2016-01-27,122.730003,123.370003,120.650002,120.959999,5026400,118.592467,122.220001,1.260002
2016-01-26,122.25,123.610001,122.239998,122.589996,4617800,120.19056,120.959999,-1.629997
2016-01-25,122.099998,124.230003,121.639999,122.080002,5446000,119.690548,122.589996,0.509994
2016-01-22,124.669998,124.739998,121.769997,122.5,9238400,120.102325,122.080002,-0.419998
2016-01-21,121.300003,125.099998,120.580002,122.910004,8851600,120.504304,122.5,-0.410004
2016-01-20,118.459999,123.989998,118,121.860001,16157800,119.474853,122.910004,1.050003
2016-01-19,130.110001,132.100006,128.059998,128.110001,9979600,125.602522,121.860001,-6.25
2016-01-15,130.009995,130.880005,128.869995,130.029999,9008500,127.484941,128.110001,-1.919998
2016-01-14,131.929993,133.789993,131.220001,132.910004,5709600,130.308576,130.029999,-2.880005
2016-01-13,133.5,134.279999,131.100006,131.169998,4700100,128.602627,132.910004,1.740006
2016-01-12,133.649994,133.779999,131.130005,132.899994,5078700,130.298762,131.169998,-1.729996
2016-01-11,131.809998,133.820007,131.759995,133.229996,4974400,130.622304,132.899994,-0.330002
