Date,Open,High,Low,Close,Volume,Adj Close,CloseNext,DailyReturn
2016-06-30,94.440002,95.769997,94.300003,95.599998,35836400,95.599998,95.889999,0.290001
2016-06-29,93.970001,94.550003,93.629997,94.400002,36531000,94.400002,95.599998,1.199996
2016-06-28,92.900002,93.660004,92.139999,93.589996,40444900,93.589996,94.400002,0.810006
2016-06-27,93,93.050003,91.5,92.040001,45489600,92.040001,93.589996,1.549995
2016-06-24,92.910004,94.660004,92.650002,93.400002,75311400,93.400002,92.040001,-1.360001
2016-06-23,95.940002,96.290001,95.25,96.099998,31863500,96.099998,93.400002,-2.699996
2016-06-22,96.25,96.889999,95.349998,95.550003,28971100,95.550003,96.099998,0.549995
2016-06-21,94.940002,96.349998,94.68,95.910004,35229500,95.910004,95.550003,-0.360001
2016-06-20,96,96.57,95.029999,95.099998,33942300,95.099998,95.910004,0.810006
2016-06-17,96.620003,96.650002,95.300003,95.330002,60595000,95.330002,95.099998,-0.230004
2016-06-16,96.449997,97.75,96.07,97.550003,31236300,97.550003,95.330002,-2.220001
2016-06-15,97.82,98.410004,97.029999,97.139999,29445200,97.139999,97.550003,0.410004
2016-06-14,97.32,98.480003,96.75,97.459999,31931900,97.459999,97.139999,-0.32
2016-06-13,98.690002,99.120003,97.099998,97.339996,38020500,97.339996,97.459999,0.120003
2016-06-10,98.529999,99.349998,98.480003,98.830002,31712900,98.830002,97.339996,-1.490006
2016-06-09,98.5,99.989998,98.459999,99.650002,26601400,99.650002,98.830002,-0.82
2016-06-08,99.019997,99.559998,98.68,98.940002,20848100,98.940002,99.650002,0.71
2016-06-07,99.25,99.870003,98.959999,99.029999,22409500,99.029999,98.940002,-0.089997
2016-06-06,97.989998,101.889999,97.550003,98.629997,23292500,98.629997,99.029999,0.400002
2016-06-03,97.790001,98.269997,97.449997,97.919998,28062900,97.919998,98.629997,0.709999
2016-06-02,97.599998,97.839996,96.629997,97.720001,40004100,97.720001,97.919998,0.199997
2016-06-01,99.019997,99.540001,98.330002,98.459999,29113400,98.459999,97.720001,-0.739998
2016-05-31,99.599998,100.400002,98.82,99.860001,42084800,99.860001,98.459999,-1.400002
