Date,Open,High,Low,Close,Volume,Adj Close,CloseNext,DailyReturn
2015-07-01,82.599998,83,81.989998,82.459999,5950000,82.459999,82.07,-0.389999
2015-07-02,82.120003,82.32,81.779999,82.07,6760200,82.07,80.230003,-1.839997
2015-07-06,80.559998,81.5,80.120003,80.230003,11864200,80.230003,79.620003,-0.61
2015-07-07,79.449997,79.790001,76.209999,79.620003,34221700,79.620003,77.940002,-1.680001
2015-07-08,76.580002,78.790001,76.220001,77.940002,22714900,77.940002,79.040001,1.099999
2015-07-09,80.93,81.190002,79.040001,79.040001,19778700,79.040001,80.300003,1.260002
2015-07-10,81.129997,81.199997,79.839996,80.300003,11224500,80.300003,81.860001,1.559998
2015-07-13,80.919998,82.199997,80.699997,81.860001,10350500,81.860001,81.5,-0.360001
2015-07-14,81.580002,82.019997,81.129997,81.5,7519300,81.5,80.730003,-0.769997
2015-07-15,80.900002,81.5,80.209999,80.730003,9514200,80.730003,81.529999,0.799996
2015-07-16,81.389999,82,80.900002,81.529999,8604500,81.529999,83.360001,1.830002
2015-07-17,81.989998,83.699997,81.580002,83.360001,14505400,83.360001,82.669998,-0.690003
2015-07-20,83.559998,83.68,82.050003,82.669998,8126100,82.669998,82.540001,-0.129997
2015-07-21,83.110001,83.25,82.220001,82.540001,5750700,82.540001,84.150002,1.610001
2015-07-22,82.160004,84.75,82,84.150002,11209200,84.150002,83.879997,-0.270005
2015-07-23,84.660004,84.970001,83.25,83.879997,7452300,83.879997,83.019997,-0.86
2015-07-24,85.169998,85.379997,82.650002,83.019997,8759900,83.019997,81.400002,-1.619995
2015-07-27,80.849998,81.699997,79.68,81.400002,12185700,81.400002,80.559998,-0.840004
2015-07-28,80.669998,80.800003,79.25,80.559998,12122800,80.559998,80.260002,-0.299996
2015-07-29,80.980003,81.369003,80.010002,80.260002,7177100,80.260002,79.959999,-0.300003
2015-07-30,80.110001,80.639999,79.449997,79.959999,6934700,79.959999,78.339996,-1.620003
2015-07-31,79.849998,79.904999,78.199997,78.339996,12687000,78.339996,77.989998,-0.349998
2015-08-03,78.199997,78.5,77.110001,77.989998,9277000,77.989998,78.870003,0.880005
2015-08-04,78.07,79.353996,77.800003,78.870003,8501200,78.870003,79.82,0.949997
2015-08-05,79.589996,80.419998,79.480003,79.82,7502600,79.82,78.959999,-0.860001
2015-08-06,79.849998,80.75,78.639999,78.959999,9297800,78.959999,78.82,-0.139999
2015-08-07,79.650002,80.199997,78.660004,78.82,8738800,78.82,80.470001,1.650001
2015-08-10,79.860001,80.989998,79.5,80.470001,11276700,80.470001,77.339996,-3.130005
2015-08-11,79.481003,80,76.150002,77.339996,22976600,77.339996,73.379997,-3.959999
2015-08-12,72.32,73.849998,71.029999,73.379997,41093200,73.379997,75.110001,1.730004
2015-08-13,74,76.730003,73.660004,75.110001,23230700,75.110001,74.760002,-0.349999
2015-08-14,74.529999,75.489998,74.459999,74.760002,12367300,74.760002,75.190002,0.43
2015-08-17,74.849998,75.239998,74.160004,75.190002,12677400,75.190002,73.879997,-1.310005
2015-08-18,74.050003,75.129997,73.730003,73.879997,11155100,73.879997,73.120003,-0.759994
